A_ID,B_ID,A_NAME,B_NAME,A_MAILADDRESS1,B_MAILADDRESS1,locked_by,lock_timestamp,Status,Assigned To,Last Updated,Created Time,Survivor,Duplicate,Completion Time
1374,1375,Zhejiang Orient Deep-Sea Fishe,Zhejiang Orient Deep-Sea Fishe,"ry Co., Ltd","ry Co., Ltd",,,Completed,,2025-02-14 16:12:58,2025-02-14 16:12:58,1374,1375,2025-02-14 17:27:46
35126,1460,Dansk Supermarked A/S,Dansk Supermarked Indkoeb AS,Bjoedstrupvej 18,Bjoedstrupvej 18,,,Completed,,2025-02-14 16:12:58,2025-02-14 16:12:58,1460,35126,2025-02-14 17:28:34
32101,1824,W. A. Turner Ltd,W. A. Turner Ltd,Broadwater Lane,Broadwater Lane,,,Completed,,2025-02-14 16:12:58,2025-02-14 16:12:58,32101,1824,2025-02-14 17:28:55
1374,1375,Zhejiang Orient Deep-Sea Fishe,Zhejiang Orient Deep-Sea Fishe,"ry Co., Ltd","ry Co., Ltd",,,Completed,,2025-02-14 16:12:58,2025-02-14 16:12:58,1374,1375,2025-02-17 10:21:00
35126,1460,Dansk Supermarked A/S,Dansk Supermarked Indkoeb AS,Bjoedstrupvej 18,Bjoedstrupvej 18,,,Completed,,2025-02-14 16:12:58,2025-02-14 16:12:58,35126,1460,2025-02-17 10:21:26
