A_ID,B_ID,A_NAME,B_NAME,A_MAILADDRESS1,B_MAILADDRESS1
2436972,694830,Asmak Express,Casa Express,.,.
2337236,694830,Canas Express,Casa Express,.,.
1483603,696808,Andrea Garcia,Ariadne Garcia ,.,.
1356238,696648,Expormanta S.A.,"Expoaroma, S.A",.,.
1923141,697380,Cleansery,Clear,.,.
838994,695546,Tracy Test,tracy test,.,.
886977,700223,Sincal,Sina,.,.
1070759,700223,INA,Sina,.,.
1122746,700223,Sinapac,Sina,.,.
700294,700287,SDI,SDI,.,.
700288,700287,SDI,SDI,.,.
700292,700287,SDI,SDI,.,.
700289,700287,SDI,SDI,.,.
1425115,700287,Sdi,SDI,.,.
711788,698048,The Vision Council Of America (VCA),The Vision Council of America (VCA),1700 Diagonal Road,1700 Diagonal Road
924083,699618,Infagosa,Infa Sa,.,.
700287,700294,SDI,SDI,.,.
700288,700294,SDI,SDI,.,.
700292,700294,SDI,SDI,.,.
700289,700294,SDI,SDI,.,.
1425115,700294,Sdi,SDI,.,.
2042207,700101,Vitamnsea,Viansa,.,.
1017863,700792,Alejandro Garcia,Alejandro Garza,.,.
1068088,700792,Alejandro Saenz,Alejandro Garza,.,.
1119456,700792,Alejandro Pivaral,Alejandro Garza,.,.
1171979,700792,Alejandro Diaz,Alejandro Garza,.,.
1227236,700792,Alejandro Vera,Alejandro Garza,.,.
1429329,700792,Alejandro,Alejandro Garza,.,.
1614677,700792,Alejandra,Alejandro Garza,.,.
1832167,700792,Alejandra,Alejandro Garza,.,.
1816629,700792,Alejandro Martinez,Alejandro Garza,.,.
1074735,700369,Self Medical,REF Medical,.,.
700287,700288,SDI,SDI,.,.
700294,700288,SDI,SDI,.,.
700292,700288,SDI,SDI,.,.
700289,700288,SDI,SDI,.,.
1425115,700288,Sdi,SDI,.,.
700287,700292,SDI,SDI,.,.
700294,700292,SDI,SDI,.,.
700288,700292,SDI,SDI,.,.
700289,700292,SDI,SDI,.,.
1425115,700292,Sdi,SDI,.,.
1569362,700353,StarMedical,Star Medical Inc.,.,.
1196166,700098,Agropecuaria Calojo,Agroopecuaria,.,.
1146480,701780,"Guangzhou Hina Biotech Co.,ltd","Guangzhou Endo Bio-tech Co., Ltd",.,.
1148026,701780,"Guangzhou Leinuo Biotech Co., Ltd.","Guangzhou Endo Bio-tech Co., Ltd",.,.
1498459,701780,"Guangzhou Hanji Biotech Co.,Ltd","Guangzhou Endo Bio-tech Co., Ltd",.,.
1530698,701780,"Guangzhou Nuode Biotec Co.,Ltd.","Guangzhou Endo Bio-tech Co., Ltd",.,.
800671,700576,"Shenzhen Viewall Industry Co., Ltd","Shenzhen Yazhi Industry Co., Ltd",.,.
700287,700289,SDI,SDI,.,.
700294,700289,SDI,SDI,.,.
700288,700289,SDI,SDI,.,.
700292,700289,SDI,SDI,.,.
1425115,700289,Sdi,SDI,.,.
701774,701462,"Chengdu Broad Realm Biotechnology Co., LD",Chengdu Broad Realm Biotechnology Co Ltd,.,.
1379577,702503,Nait,NIT,.,.
1507064,702503,NIHT,NIT,.,.
706763,702942,"Shandong Luwang Pharmaceutical Glass Co., Ltd","Shandong Luwang Pharmaceutical Glass Products Co., Ltd",.,.
701462,701774,Chengdu Broad Realm Biotechnology Co Ltd,"Chengdu Broad Realm Biotechnology Co., LD",.,.
1945701,701797,"Zhejiang Nuotai Biopharmaceutical Co., Ltd.","Zhejiang Apeola Bio-Pharmaceutical Co., Ltd",.,.
1363017,702606,"Beijing Suncon Technology Development Co.,Ltd","Beijing Shield Technology Development Co., Ltd",.,.
1591459,702806,Beijing Anchorfree Technology Co Ltd,Beijing Acctrue Technology Co.. Ltd,.,.
1464776,705145,Occidental International Foods Inc,"Occidental International Foods, LLC.",111 Canfield Avenue Building A,111 Canfield Avenue Building A
1086686,704710,Innopharm,Innopharma,.,.
1209132,705275,"Atomy America, Inc.",Atomy America,33801 1st Way South,33801 1st Way South
1102216,705375,SD Medical,SKY Medical,.,.
1555750,704884,Advanced Enzymes Technologies Limited,Advanced Energy Technologies Ltd.,.,.
760340,706230,GSK,GSK,.,.
1977790,706230,GSK,GSK,.,.
1149629,706931,united Pharma,United Pharma Vn,.,.
1556179,706474,Miguel,Miguel,.,.
2239230,706474,Miguel,Miguel,.,.
2339274,706474,Miguelo's,Miguel,.,.
1502506,706488,"Shanghai Bangyi Biotechnology Co.,Ltd.","Shanghai Jinxu Biotechnology Co., Ltd",.,.
2550908,706488,"Shanghai Yuyan Biotechnology Co., Ltd.","Shanghai Jinxu Biotechnology Co., Ltd",.,.
706819,706961,Aqua Dental,Aqua Dental,Magazingasse 7,Magazingasse 7
2181341,706481,La Bonita,La Conchita,.,.
2403088,707843,"Hangzhou Endo MedicalInstrument Co., Ltd","Hangzhou Jianbao Medical Instrument Co., Ltd",.,.
1901710,707747,Fresh Food Factor,Fresh Food Trading Co,.,.
702942,706763,"Shandong Luwang Pharmaceutical Glass Products Co., Ltd","Shandong Luwang Pharmaceutical Glass Co., Ltd",.,.
1533580,706769,Shenzhen Ime Tecnolgies,Shenzhen Mei Te Si,.,.
1803578,708052,Mediment International,Medental International,.,.
706961,706819,Aqua Dental,Aqua Dental,Magazingasse 7,Magazingasse 7
673579,708161,"Shanghai Huaxi Medical Equipment Co., Ltd","Shanghai Zhipu Medical Equipment Co., Ltd.",.,.
673613,708161,"Shanghai Juheng Medical Equipment Co., Ltd","Shanghai Zhipu Medical Equipment Co., Ltd.",.,.
2023638,708254,"Changchun Hengchi Technology Co., Ltd.","Changchun Aibang Technology Co., Ltd.",.,.
1431967,708256,"Shanghai Weishi Industrial Co., Ltd.","Shanghai Best Industrial Co., Ltd.",.,.
1184064,709091,Ms. Wang,Mr. Wang,.,.
1206821,709091,Mr. Zhang,Mr. Wang,.,.
2353646,709091,Mr.Wang,Mr. Wang,.,.
1076981,709654,Carlos Andrango,Carlos Aragon,.,.
1268859,709654,Carlos Aguiriano,Carlos Aragon,.,.
898803,718074,"Shanghai Cephei Trading Co., Ltd","Shanghai Tita Trading Co., Ltd.",.,.
698048,711788,The Vision Council of America (VCA),The Vision Council Of America (VCA),1700 Diagonal Road,1700 Diagonal Road
1613806,712762,Shanghai Chuangyang,Shanghai Yang,.,.
2234791,712762,Shanghai Jiangxin,Shanghai Yang,.,.
1286737,717037,Amor,Amcor,.,.
