CD Number,Company Name,Country Name,DUNS
721691,Grupo Moscuzza / Moscuzza Pedro E Hijos S.A. / Pedro Moscuzza E Hijos S.A.,AR,970263281
29899,Maison Sichel - SA / Sichel S.A. (Maison),FR,274825405
734182,Schooner Company Limited,JP,690639927
731813,La Higuera SA,CL,952893010
695310,"Xihe Food Co., Ltd.",CN,546139723
713106,"ECI Taiwan Co., Ltd. / Expeditors Cargo Management Systems",TW,658649173
235194,Antropos s.a.s di Verzelloni Mattia,IT,514172068
693981,"Maoming Xinzhou Seafood Co., Ltd",CN,421336713
296631,Rinaldi Vini Sas  / Rinaldi Vini (Naturalmente Italiano) / Az. Agr. Rinaldi Vini Rnaldi Andrea,IT,432422565
741341,"The Agro Processing Africa, Ltd",TZ,559912538
449120,The Agro Industries Ltd,MW,559460549
84292,Marnex Company,TW,657240388
332232,Arisu Gida Dis Tic. A.S.,TR,566215095
714245,JF Hillebrand Spain S.A,ES,464879932
721085,Diana Naturals Chile S.A.,CL,980434484
66800,Andre Bollier Ltd./ Andre's Confiserie Suisse,US,29821568
285051,Hainan Sky-Blue Ocean Foods Company Limited,CN,526854762
46767,"Red River Foods, Inc.",US,781977608
108578,TALATTA SRL,IT,429601308
399630,American Diagnostic Corporation (ADC),US,108999095
260339,"Samjin Globalnet Co., Ltd.",KR,688986749
17494,Lamex Foods Inc.,US,147590731
272206,Rema Foods Incorporated,US,194278768
278546,"Lucky Cannery Co., Ltd.",TH,659874911
278555,"Majestic Food Industry Co., Ltd.",TH,660758371
12498,Dongwon F & B Company Limited,KR,689917714
733140,Walter Heindl GesmbH / Walter Heindl GmbH,AT,301909305
98069,Thai Pineapple Canning Industry Corp Ltd,TH,659715742
241731,"Cold Alex For Food Processing, S.A.E.",EG,565427200
270683,Connors Bros. Ltd/Plant,CA,206019598
565944,Narong Seafood Company Limited,TH,659726012
139679,"Liaoning Wanrong Trading Compay., Limited / Dalian Evergreen Foods Co. Ltd",CN,544702020
733974,Confections by Michael Recchiuti,US,3906083
51591,Orkla ASA / Orkla Confectionery & Snacks Norge A/S / Orkla Health AS,NO,518948661
563573,Paul Reber Gmbh & CO. KG,DE,315583229
734276,"Tropfin (Thailand) Co., Ltd.",TH,
674248,"Barbera Snacks, S.L.",ES,512820853
83979,"F.W. Bryce, Inc",US,16838708
735112,MF-Hamburg Maschinen und Anlagenbau GmbH,DE,314835914
12611,Carlino SRL.,IT,437422595
355542,Domaine Chante Cigale,FR,
497501,The Int'l. Company For Agricultural Production & Processing S.A.E.,EG,850492975
740921,Sur Trade S.A.,AR,975584116
736862,Tep Kinsho Foods Company Limited,TH,
289132,Dalian Hualian Food Company Limited,CN,529327793
277343,Les Conserves De Meknes S.A. / Aicha,MA,
282075,Anitin - Panes Especiales.S.L,ES,510946379
205826,Perrin-Vermot SA,FR,392668575
741021,Moga International Ltd.,IL,600187801
740022,Mai Linh Company Limited,VN,555345938
109059,Vina Carmen / Vina Sur Andino S.A.,CL,980448708
487032,Jiangsu Haitian Sea-Beach Aquatic Foods Company Limited,CN,527539736
117585,National Enzyme Co.,US,79571102
693379,"Donggang Fuxing Food Co., Ltd.",CN,
81074,Maintal Konfitueren GmbH,DE,506992309
671200,Vinedos Emiliana S.A.,CL,980374078
192465,Althaea NV,BE,
281839,Astir Chocolate Industry - A.C. Constantinidis SA,GR,499617616
658750,"Dalian Meihe Foodstuff Co., LTD.",CN,529169771
732243,Hainan Eternal Spring Fisheries Company Limited,CN,421299217
74443,Agritalia S.R.L.,IT,434170346
247895,"La Bacaladera, S.A.U.",ES,461128233
124881,Via MontGras S.A. / Montgras S.A. (Vina Oficina Comercial) / Agricola San Jose De Peralillo Sa,CL,980462386
13670,Eastern Delight Foods Company Limited,TH,
78269,Gustav Berning GmbH & Co. KG,DE,319064473
333324,"Tropical Food Manufacturing (Ningbo) Co., Ltd.",CN,546050956
642281,"Hubei Qianjiang Huashan Aquatic Products Foodstuff Co., Ltd.",CN,530033331
483377,"Dalian Hongdao Marine Products Co.,LTD.",CN,527208259
733969,Rocky Sea Products Inc,CN,
640521,"Dalian Tianbao Green Foods Co., Ltd.",CN,529883563
232945,R. S. Cannery Company Limited,TH,659710123
80667,Hugues De Beauvignac / Les Costieres de Pomerols / Cave Cooperative Les Costieres / Cave Les Costieres De Pomerols / Cave Cooperative de Pomerols Les Costieres de Pomerols / Eurl Beauvignac / SCAV Les Costieres,FR,262337052
372660,La Passion Des Terroirs S.A. / Domaines Lucien Lurton & Fils / Passion Des Terroirs S.A. (LA) Lucien Lurton & Fils / Passion Des Terroirs S.A. (LA) Lucien Lurton & Fils,FR,
24385,Halewood International Ltd / Holdings (UK) Limited / The Sovereign Distillery,UK,
679160,N&N Comercio De Alimentos LTDA.,BR,902299986
658088,"Dalian Benli Foods Co., Ltd.",CN,529169942
703599,"Xiamen Sungiven Import & Export Co., Ltd.",CN,543004804
363578,Customripe Avocado Company,US,
4512,"Fortune Life Enterprise Co., Ltd. / Modern Dynasty Group Limited",TW,
642275,"Hubei Chuyu Food Co., Ltd.",CN,420808207
92575,"Transcafe, S.A.",GT,846074532
241080,Zhenye Aquatic & Cool Storage Company Limited,CN,679756247
207368,"Consorcio de Los Quesos Tradicionales de Espana, S.A.",ES,478073588
441680,Romano Vitas & Co. Srl,IT,541566857
688365,Jiangsu Folee Medical Equipment Company Limited,CN,526881422
741223,Adnan Akat Kozmetik Ltd Sti / Adnanakat,TR,
731225,Jinhua Jingdi Medical Supplies Company Limited /Jinhua Jindong District Medical Outpatient,CN,546607668
403627,Kai Industries Company Limited,JP,717035526
407074,Karex Industries Sdn Bhd,MY,652280256
603718,"Chengda Pharmaceuticals Co., Ltd.",CN,
29920,Noel Cruzilles Aubert SA,FR,281945352
75762,"Mondiv, Division of Lassonde Specialties Inc.",CA,243547267
83267,Negocios Industriales Real NIRSA S.A.,EC,935107078
51886,Aceites Borges Pont S.A.U. (Int'l Div. Consumer Packs),ES,460055312
348629,Rutherford & Meyer,NZ,590625141
270763,Thai - Nichi Industries Company Limited,TH,
278403,"Karn Corn Co., Ltd.",TH,671881483
737946,Tenuta Santome,IT,428686903
700368,"Zhejiang Xinwang Foodstuffs Co., Ltd.",CN,527997219
532897,Monticchio Gaudianello S.p.A.,IT,459008871
468991,Ben Tre Seafood Joint Stock Company,VN,555217606
204482,Colombina S.A.,CO,880208707
241463,Giza Seeds & Herbs,EG,
282668,HOCH Oblatenfabrik GmbH,DE,316197920
87276,Estyria Naturprodukte GmbH,AT,302983465
731824,"Dalian Longxiang Seafoods Co., Ltd.",CN,547301510
438195,"MT Company, Ltd. / MT Co., Ltd.",VN,
26038,"Zhejiang Evernew Seafood Co., Ltd.",CN,529184819
717256,Coopevictoria R.L.,CR,
320050,"Yunnan Tonghai Yang Natural Products Co.,Ltd.",CN,679870998
488136,Beyond the Bean Limited,UK,424315307
311491,VSM Gida Tarim Urunleri Itn. Inr. San. Ve Tic. Ltd. STI / Sanford Gida Tarim Insaat Turizm Sanayi Ve Ticaret Anonim Sirketi / Sanford Foods A.S.,TR,505190994
430154,Jyot Overseas Pvt. Ltd.,IN,859652107
423900,"Huzhou City Linghu Xinwang Chemical Co., Ltd.",CN,531140887
69014,Kvutzat Yavne Food Products,IL,600501524
370123,Pieffe & Partners,IT,447043183
86333,El Rashidi El Mizan Confectionery Corp.,EG,558084284
583672,"Livzon Group Changzhou Kony Pharmaceutical Co Ltd / Changzhou Kony Pharma Co., Ltd.",CN,544613276
569516,Gumutindo Coffee Cooperative Enteprise Ltd,UG,
55314,"Johner & Schubert / Schubert Wines, Ltd.",NZ,590279217
601324,Qingdao Kingland Industry Company Limited,CN,529673229
539417,"Queserias Picos de Europa, S.L.",ES,465426815
960,"Dalian Haochen Food Co., Ltd.",CN,421122608
374014,"Qingdao Yuanqiang Foods Co., Ltd.",CN,545305948
301560,Full Belly Farm,US,876754896
553385,Sprint Exports Pvt Ltd,IN,
215132,The Wine Merchant S.A.S. / Wine Merchant S.A. (The),FR,502361293
287008,D. Beccaris Ltd.,US,155759418
587920,Vinagrerias Riojanas S.A.,ES,465114791
439831,Winzer von Erbach,DE,321815490
488154,SCV Chateau du Tariquet Les Domaines de Grassa,FR,382122372
746169,Shanghai Shundi Foods Company Limited,CN,421368646
705450,Nam Phong Trading Company Factory,VN,673951475
567506,Seprod Limited,JM,873200430
730505,QL Foods Sdn Bhd,MY,596942557
280150,"Korn Thai Co., Ltd.",TH,
123035,De Wetshof Estate,ZA,
56114,"AJAY North America, LLC",US,61425104
58659,Arab Food Industries Co. Ltd. (Noon),JO,558734321
3735,"Ammon International, INC",TW,657545380
402535,Rudolf Riester GmbH & Company KG,DE,537208717
49220,Occelli Agrinatura SRL,IT,447347964
740793,Yantai Tri-River Foods Limited,CN,543059697
297362,Pasqua Vigneti E Cantine SPA,IT,513875182
695543,Yunnan New Ocean Aquatic Product Science And Technology Group Company Limited,CN,421316884
92698,"Alimentos Kern De Guatemala, S.A.",GT,
671221,Lange Sas,FR,275956105
329394,Tien Giang Vegetables and Fruits Joint-Stock Company,VN,555278712
643213,Jafferjee Brothers,LK,
484979,"Shanghai Intco Medical Supply Co., Ltd.",CN,
453388,"Sibel, S.A.",ES,468596119
271162,PPH Primart Marek Lukasiewicz,PL,366067452
232934,"Bangkok Dehydrated Marine Product Co.,Ltd.",TH,659821680
234065,Confiserie Vandenbulcke NV,BE,283324747
744485,"Fujian Rongjiang Import And Export Co., Ltd.",CN,653948042
84425,"Compania Licorera de Nicaragua, S.A.",NI,852438993
124879,"Montes, S.A.",CL,980728638
395266,"Allied Healthcare Products, Inc.",US,99674145
448643,Oleificio San Calogero Sas / Regno degli Ulivi,IT,434117284
619457,ProTab Laboratories,US,
307451,Hup Seng Perusahaan Makanan (M) Sdn Bhd,MY,652120817
562873,"Batra Enterprises, Delhi",IN,
727102,Glassven Yangzhong Additives J.V. Ltd.,CN,545331324
694809,Refrigerados Fisholg & Hijos S.A.C.,PE,934997110
355453,"Tengzhou Ruiyuan Flavor Co.,Ltd.",CN,
355602,"Zhejiang Huakang Pharmaceutical Co., Ltd. / Zhejiang Pharmaceuticals Co., Ltd.",CN,546872490
60284,Azucarera Paraguaya SA,PY,
52038,"Cuevas Y Cia, S.A.",ES,
642163,Hainan Qinfu Foods Company Limited,CN,421272090
324169,"Hebei Liyuan Foods Co., Ltd.",CN,530116268
613173,"D & T Foods, Inc.",US,605209766
673904,"China Kunyu Industrial Co., Ltd. / Tianjin Kunyu INternational",CN,529747506
716296,"Shaoxing Baita Brew Beer Co., Ltd. / Shaoxing Baita Brewage Co., Ltd.",CN,529307224
360391,"Bodegas San Gregorio, S.C.L.",ES,633425632
521744,Yeong Yang Red Pepper Trade Corporation,KR,
579760,"Shanghai Multi-Med Union Co., Ltd.",CN,545357480
444569,Wairau River Winery / Wairau River Wines Ltd.,NZ,
744657,"Hangzhou Everich Houseware Co., Ltd.",CN,
296763,Vina Santa Alicia S.A.,CL,981036143
745199,Tzeng Shyng Industries Corporation,TW,657294245
744006,"Liaoning Wanrong Trading Company Limited / Dalian Wanrong Trading Co., Ltd.",CN,544803786
487195,"Hainan Xiangtai Fishery Co., Ltd.",CN,527474933
7308,Arhehpez S.A.,AR,971464144
124271,"Torre Oria, S.L.U. / Cavas Y Vinos Torre Oria",ES,466790813
357927,Veuve Ambal S.A. / Les Petits Fils De Veuve Ambal,FR,277585006
740480,"Dalian Sheng Sheng Food Co., Ltd. / Dalian Shengsheng Food Co., Ltd.",CN,527980537
204906,"Productos Mata, S.A.",ES,463017889
111694,Urcimar S.A.,MA,850455558
747202,"Agro Industria Ocoena, S.A.",DO,871457867
384380,"Tianjin Zhongrui Pharmaceutical Co., Ltd.",CN,542954294
400603,Martech Medical Products / Martech Mdi Inc,US,136600111
655175,"Shandong Luwei Pharmaceutical Co., Ltd.",CN,528191822
353821,"Daicel Nanning Food Ingredients Co., Ltd.",CN,529887523
